date;Sensor_PM10
2017-06-17T00:00;51
2017-06-17T01:00;39
2017-06-17T02:00;34
2017-06-17T03:00;31
2017-06-17T04:00;28
2017-06-17T05:00;24
2017-06-17T06:00;26
2017-06-17T07:00;31
2017-06-17T08:00;40
2017-06-17T09:00;40
2017-06-17T10:00;42
2017-06-17T11:00;22
2017-06-17T12:00;5
2017-06-17T13:00;20
2017-06-17T14:00;17
2017-06-17T15:00;13
2017-06-17T16:00;16
2017-06-17T17:00;15
2017-06-17T18:00;15
2017-06-17T19:00;21
2017-06-17T20:00;22
2017-06-17T21:00;54
2017-06-17T22:00;39
2017-06-17T23:00;34
2017-06-18T00:00;nan
2017-06-18T01:00;10
2017-06-18T02:00;14
2017-06-18T03:00;14
2017-06-18T04:00;12
2017-06-18T05:00;18
2017-06-18T06:00;12
2017-06-18T07:00;19
2017-06-18T08:00;26
2017-06-18T09:00;29
2017-06-18T10:00;22
2017-06-18T11:00;16
2017-06-18T12:00;20
2017-06-18T13:00;15
2017-06-18T14:00;14
2017-06-18T15:00;16
2017-06-18T16:00;34
2017-06-18T17:00;48
2017-06-18T18:00;34
2017-06-18T19:00;29
2017-06-18T20:00;20
2017-06-18T21:00;20
2017-06-18T22:00;25
2017-06-18T23:00;38
2017-06-19T00:00;25
2017-06-19T01:00;20
2017-06-19T02:00;15
2017-06-19T03:00;12
2017-06-19T04:00;11
2017-06-19T05:00;14
2017-06-19T06:00;15
2017-06-19T07:00;21
2017-06-19T08:00;30
2017-06-19T09:00;42
2017-06-19T10:00;29
2017-06-19T11:00;24
2017-06-19T12:00;17
2017-06-19T13:00;20
2017-06-19T14:00;29
2017-06-19T15:00;31
2017-06-19T16:00;33
2017-06-19T17:00;31
2017-06-19T18:00;33
2017-06-19T19:00;32
2017-06-19T20:00;37
2017-06-19T21:00;37
2017-06-19T22:00;35
2017-06-19T23:00;29
2017-06-20T00:00;23
2017-06-20T01:00;21
2017-06-20T02:00;20
2017-06-20T03:00;14
2017-06-20T04:00;15
2017-06-20T05:00;13
2017-06-20T06:00;15
2017-06-20T07:00;23
2017-06-20T08:00;33
2017-06-20T09:00;32
2017-06-20T10:00;21
2017-06-20T11:00;34
2017-06-20T12:00;35
2017-06-20T13:00;17
2017-06-20T14:00;30
2017-06-20T15:00;33
2017-06-20T16:00;50
2017-06-20T17:00;40
2017-06-20T18:00;35
2017-06-20T19:00;36
2017-06-20T20:00;31
2017-06-20T21:00;26
2017-06-20T22:00;22
2017-06-20T23:00;16
2017-06-21T00:00;11
2017-06-21T01:00;10
2017-06-21T02:00;9
2017-06-21T03:00;17
2017-06-21T04:00;6
2017-06-21T05:00;17
2017-06-21T06:00;12
2017-06-21T07:00;23
2017-06-21T08:00;30
2017-06-21T09:00;48
2017-06-21T10:00;42
2017-06-21T11:00;27
2017-06-21T12:00;29
2017-06-21T13:00;24
2017-06-21T14:00;90
2017-06-21T15:00;17
2017-06-21T16:00;18
2017-06-21T17:00;23
2017-06-21T18:00;18
2017-06-21T19:00;13
2017-06-21T20:00;16
2017-06-21T21:00;19
2017-06-21T22:00;23
2017-06-21T23:00;14
2017-06-22T00:00;11
2017-06-22T01:00;11
2017-06-22T02:00;10
2017-06-22T03:00;14
2017-06-22T04:00;12
2017-06-22T05:00;15
2017-06-22T06:00;17
2017-06-22T07:00;20
2017-06-22T08:00;25
2017-06-22T09:00;34
2017-06-22T10:00;37
2017-06-22T11:00;nan
2017-06-22T12:00;nan
2017-06-22T13:00;44
2017-06-22T14:00;38
2017-06-22T15:00;45
2017-06-22T16:00;56
2017-06-22T17:00;33
2017-06-22T18:00;27
2017-06-22T19:00;27
2017-06-22T20:00;27
2017-06-22T21:00;23
2017-06-22T22:00;22
2017-06-22T23:00;23
2017-06-23T00:00;22
2017-06-23T01:00;21
2017-06-23T02:00;19
