date;RefSt;Sensor_O3;Temp;RelHum
16/5/17 0:00;22.0;509.983;15.00;63.70
16/5/17 0:30;18.0;446.033;14.67;61.63
16/5/17 1:30;8.0;445.594;13.88;67.12
16/5/17 2:00;16.0;408.997;13.40;68.40
16/5/17 2:30;11.0;420.210;13.37;68.57
16/5/17 3:00;5.0;387.153;13.00;69.00
16/5/17 3:30;5.0;317.567;13.00;68.03
16/5/17 4:00;3.0;319.187;13.00;66.93
16/5/17 4:30;2.0;311.777;13.00;69.40
16/5/17 5:00;3.0;315.500;13.00;69.37
16/5/17 5:30;4.0;328.893;13.10;69.97
16/5/17 6:00;5.0;302.531;15.07;67.62
16/5/17 6:30;11.0;305.373;22.33;50.63
16/5/17 7:00;24.0;361.280;24.87;36.00
16/5/17 7:30;28.0;558.037;26.40;34.27
16/5/17 8:00;39.0;682.070;28.27;32.20
16/5/17 8:30;53.0;1.030.233;27.17;32.60
16/5/17 9:00;69.0;1.810.247;24.00;37.23
16/5/17 9:30;92.0;2.861.377;25.57;37.17
16/5/17 10:00;110.0;4.032.243;27.57;34.40
16/5/17 10:30;117.0;5.095.143;28.97;32.40
16/5/17 11:00;120.0;5.327.280;31.57;29.20
16/5/17 11:30;125.0;5.538.857;32.57;28.40
16/5/17 12:00;126.0;5.773.253;32.57;28.37
16/5/17 12:30;132.0;5.767.277;34.20;27.77
16/5/17 13:00;142.0;5.903.967;34.60;27.40
16/5/17 13:30;149.0;6.396.430;33.13;28.03
16/5/17 14:00;154.0;6.420.933;33.27;28.00
16/5/17 14:30;150.0;6.497.580;32.10;28.80
16/5/17 15:00;148.0;6.878.653;30.07;29.93
16/5/17 15:30;146.0;6.950.470;29.43;30.13
16/5/17 16:00;138.0;7.085.290;28.23;30.57
16/5/17 16:30;134.0;7.173.523;26.53;31.47
16/5/17 17:00;123.0;7.303.007;26.00;32.00
16/5/17 17:30;117.0;6.280.793;26.97;31.43
16/5/17 18:00;109.0;6.145.150;25.70;32.00
16/5/17 18:30;100.0;6.066.780;24.20;32.80
16/5/17 19:00;94.0;5.835.603;23.03;33.17
16/5/17 19:30;79.0;5.456.313;21.57;34.67
16/5/17 20:00;52.0;4.183.753;21.00;35.00
16/5/17 20:30;50.0;1.649.667;20.77;36.23
16/5/17 21:00;45.0;1.666.870;19.60;39.37
16/5/17 21:30;37.0;1.249.090;18.60;41.07
16/5/17 22:00;34.0;1.116.950;17.90;44.63
16/5/17 22:30;35.0;1.041.757;17.03;47.33
16/5/17 23:00;29.0;1.111.110;16.10;51.57
16/5/17 23:30;29.0;667.253;16.00;53.17
17/5/17 0:00;27.0;759.763;15.23;53.00
17/5/17 0:30;21.0;650.763;15.00;54.80
17/5/17 1:30;21.0;523.189;14.00;63.17
17/5/17 2:00;21.0;618.467;13.50;62.10
17/5/17 2:30;13.0;623.630;13.07;62.50
17/5/17 3:00;9.0;512.477;13.00;64.67
17/5/17 3:30;7.0;451.477;12.77;68.27
17/5/17 4:00;2.0;420.467;12.47;70.07
17/5/17 4:30;4.0;356.687;12.23;69.97
17/5/17 5:00;6.0;351.930;12.17;70.60
17/5/17 5:30;10.0;356.077;17.07;62.40
17/5/17 6:00;16.0;400.420;20.77;46.80
17/5/17 6:30;19.0;427.533;22.57;38.37
17/5/17 7:00;22.0;460.173;24.60;35.20
17/5/17 7:30;30.0;501.090;27.00;32.37
17/5/17 8:00;39.0;661.300;28.53;31.57
17/5/17 8:30;53.0;951.677;27.60;31.90
17/5/17 9:00;79.0;1.852.737;24.47;34.17
17/5/17 9:30;93.0;3.767.303;26.27;32.73
17/5/17 10:00;95.0;4.860.757;27.47;32.03
17/5/17 10:30;101.0;4.490.433;28.63;30.93
17/5/17 11:00;110.0;5.087.740;31.17;29.03
17/5/17 11:30;117.0;6.046.843;31.17;29.30
17/5/17 12:00;124.0;6.472.807;30.97;29.27
17/5/17 12:30;125.0;6.448.250;31.50;29.13
17/5/17 13:00;128.0;6.518.620;30.77;29.23
17/5/17 13:30;132.0;6.155.787;31.23;29.07
17/5/17 14:00;136.0;6.421.940;30.43;29.57
17/5/17 14:30;140.0;6.798.977;29.30;30.10
